date;ultimo;var
09/05/2005;51,29;1,02%
10/05/2005;51,43;0,27%
11/05/2005;50,07;-2,64%
12/05/2005;48,34;-3,46%
13/05/2005;48,66;0,66%
16/05/2005;48,05;-1,25%
17/05/2005;49,34;2,68%
18/05/2005;48,15;-2,41%
19/05/2005;47,88;-0,56%
20/05/2005;48,03;0,31%
23/05/2005;48,37;0,71%
24/05/2005;48,82;0,93%
25/05/2005;50,07;2,56%
26/05/2005;50,16;0,18%
27/05/2005;50,7;1,08%
31/05/2005;50,73;0,06%
01/06/2005;53,27;5,01%
02/06/2005;52,4;-1,63%
03/06/2005;54,17;3,38%
06/06/2005;53,67;-0,92%
07/06/2005;53,13;-1,01%
08/06/2005;52,11;-1,92%
09/06/2005;53,82;3,28%
10/06/2005;52,67;-2,14%
13/06/2005;54,78;4,01%
14/06/2005;53,73;-1,92%
15/06/2005;54,5;1,43%
16/06/2005;56,22;3,16%
17/06/2005;57,76;2,74%
20/06/2005;58,32;0,97%
21/06/2005;57,5;-1,41%
22/06/2005;56,58;-1,60%
23/06/2005;57,96;2,44%
24/06/2005;58,36;0,69%
27/06/2005;59,3;1,61%
28/06/2005;57,18;-3,58%
29/06/2005;56,15;-1,80%
30/06/2005;55,58;-1,02%
01/07/2005;57,54;3,53%
04/07/2005;57,94;0,70%
05/07/2005;58,29;0,60%
06/07/2005;59,85;2,68%
07/07/2005;59,28;-0,95%
08/07/2005;58,2;-1,82%
11/07/2005;57,44;-1,31%
12/07/2005;58,82;2,40%
13/07/2005;58,27;-0,94%
14/07/2005;57,31;-1,65%
15/07/2005;57,61;0,52%
18/07/2005;56,99;-1,08%
19/07/2005;57,36;0,65%
20/07/2005;56,65;-1,24%
21/07/2005;55,72;-1,64%
22/07/2005;57,58;3,34%
25/07/2005;57,86;0,49%
26/07/2005;58,03;0,29%
27/07/2005;58,01;-0,03%
28/07/2005;58,76;1,29%
29/07/2005;59,37;1,04%
01/08/2005;60,44;1,80%
02/08/2005;60,62;0,30%
03/08/2005;59,65;-1,60%
04/08/2005;60,12;0,79%
05/08/2005;61,07;1,58%
08/08/2005;62,7;2,67%
09/08/2005;61,98;-1,15%
10/08/2005;63,99;3,24%
11/08/2005;65,38;2,17%
12/08/2005;66,45;1,64%
15/08/2005;65,58;-1,31%
16/08/2005;65,41;-0,26%
17/08/2005;62,56;-4,36%
18/08/2005;62,4;-0,26%
19/08/2005;64,36;3,14%
22/08/2005;64,5;0,22%
23/08/2005;64,65;0,23%
24/08/2005;66,01;2,10%
25/08/2005;66,27;0,39%
26/08/2005;64,87;-2,11%
30/08/2005;67,57;4,16%
31/08/2005;67,02;-0,81%
01/09/2005;67,72;1,04%
02/09/2005;66,06;-2,45%
05/09/2005;64,85;-1,83%
06/09/2005;64,67;-0,28%
07/09/2005;62,89;-2,75%
08/09/2005;63,08;0,30%
09/09/2005;62,84;-0,38%
12/09/2005;61,8;-1,65%
13/09/2005;61,61;-0,31%
14/09/2005;63,37;2,86%
15/09/2005;63,16;-0,33%
16/09/2005;61,81;-2,14%
19/09/2005;65,61;6,15%
20/09/2005;64,2;-2,15%
21/09/2005;64,73;0,83%
22/09/2005;64,6;-0,20%
23/09/2005;62,44;-3,34%
26/09/2005;63,93;2,39%
27/09/2005;62,97;-1,50%
28/09/2005;63,93;1,52%
29/09/2005;63,84;-0,14%
30/09/2005;63,48;-0,56%
03/10/2005;62,8;-1,07%
04/10/2005;61,22;-2,52%
05/10/2005;60,12;-1,80%
06/10/2005;58,37;-2,91%
07/10/2005;59,21;1,44%
10/10/2005;58,78;-0,73%
11/10/2005;60,08;2,21%
12/10/2005;60,57;0,82%
13/10/2005;60,14;-0,71%
14/10/2005;59,35;-1,31%
17/10/2005;60,57;2,06%
18/10/2005;59,28;-2,13%
19/10/2005;58,6;-1,15%
20/10/2005;57,91;-1,18%
21/10/2005;58,48;0,98%
24/10/2005;58,24;-0,41%
25/10/2005;60,24;3,43%
26/10/2005;58,87;-2,27%
27/10/2005;59,14;0,46%
28/10/2005;59,42;0,47%
31/10/2005;58,1;-2,22%
01/11/2005;58,37;0,46%
02/11/2005;58,38;0,02%
03/11/2005;60,52;3,67%
04/11/2005;59,25;-2,10%
07/11/2005;58,04;-2,04%
08/11/2005;57,81;-0,40%
09/11/2005;56,88;-1,61%
10/11/2005;55,68;-2,11%
11/11/2005;54,99;-1,24%
14/11/2005;54,73;-0,47%
15/11/2005;54,05;-1,24%
16/11/2005;56;3,61%
17/11/2005;54,85;-2,05%
18/11/2005;54,88;0,05%
21/11/2005;55,34;0,84%
22/11/2005;56,41;1,93%
23/11/2005;56,21;-0,35%
24/11/2005;55,3;-1,62%
25/11/2005;55,01;-0,52%
28/11/2005;54,88;-0,24%
29/11/2005;54,32;-1,02%
30/11/2005;55,05;1,34%
01/12/2005;56,15;2,00%
02/12/2005;57,05;1,60%
05/12/2005;57,73;1,19%
06/12/2005;57,61;-0,21%
07/12/2005;56,98;-1,09%
08/12/2005;58,67;2,97%
09/12/2005;57,31;-2,32%
12/12/2005;59,44;3,72%
13/12/2005;59,52;0,13%
14/12/2005;59,6;0,13%
15/12/2005;59,85;0,42%
16/12/2005;57,13;-4,54%
19/12/2005;56,11;-1,79%
20/12/2005;56,17;0,11%
21/12/2005;56,72;0,98%
22/12/2005;56,55;-0,30%
23/12/2005;56,69;0,25%
27/12/2005;56,29;-0,71%
28/12/2005;57,64;2,40%
29/12/2005;58,07;0,75%
30/12/2005;58,98;1,57%
03/01/2006;61,35;4,02%
04/01/2006;61,68;0,54%
05/01/2006;61,13;-0,89%
06/01/2006;62,72;2,60%
09/01/2006;62,01;-1,13%
10/01/2006;61,92;-0,15%
11/01/2006;62,17;0,40%
12/01/2006;62,62;0,72%
13/01/2006;62,26;-0,57%
16/01/2006;62,93;1,08%
17/01/2006;64,9;3,13%
18/01/2006;64,19;-1,09%
19/01/2006;65,23;1,62%
20/01/2006;66,43;1,84%
23/01/2006;66,16;-0,41%
24/01/2006;65,34;-1,24%
25/01/2006;64,23;-1,70%
26/01/2006;64,92;1,07%
27/01/2006;66,24;2,03%
30/01/2006;66,59;0,53%
31/01/2006;65,99;-0,90%
01/02/2006;65,03;-1,45%
02/02/2006;62,88;-3,31%
03/02/2006;63,39;0,81%
06/02/2006;63,33;-0,09%
07/02/2006;61,56;-2,79%
08/02/2006;61,06;-0,81%
09/02/2006;60,75;-0,51%
10/02/2006;59,64;-1,83%
13/02/2006;59,38;-0,44%
14/02/2006;59,52;0,24%
15/02/2006;58,15;-2,30%
16/02/2006;58,79;1,10%
17/02/2006;59,89;1,87%
20/02/2006;61,54;2,76%
21/02/2006;61,6;0,10%
22/02/2006;60,44;-1,88%
23/02/2006;60,54;0,17%
24/02/2006;62,6;3,40%
27/02/2006;60,99;-2,57%
28/02/2006;61,76;1,26%
01/03/2006;62,45;1,12%
02/03/2006;64,07;2,59%
03/03/2006;64,18;0,17%
06/03/2006;62,34;-2,87%
07/03/2006;61,17;-1,88%
08/03/2006;60,03;-1,86%
09/03/2006;61,06;1,72%
10/03/2006;60,83;-0,38%
13/03/2006;62,2;2,25%
14/03/2006;63,97;2,85%
15/03/2006;62,94;-1,61%
16/03/2006;62,91;-0,05%
17/03/2006;63,26;0,56%
20/03/2006;61,34;-3,04%
21/03/2006;62,13;1,29%
22/03/2006;61,5;-1,01%
23/03/2006;63,27;2,88%
24/03/2006;63,51;0,38%
27/03/2006;63,61;0,16%
28/03/2006;64,97;2,14%
29/03/2006;65,55;0,89%
30/03/2006;66,46;1,39%
31/03/2006;65,91;-0,83%
03/04/2006;66,84;1,41%
04/04/2006;66,39;-0,67%
05/04/2006;67,1;1,07%
06/04/2006;67,84;1,10%
07/04/2006;67,29;-0,81%
10/04/2006;68,75;2,17%
11/04/2006;69,37;0,90%
12/04/2006;69,42;0,07%
13/04/2006;70,14;1,04%
17/04/2006;71,3;1,65%
18/04/2006;71,85;0,77%
19/04/2006;72,95;1,53%
20/04/2006;72,87;-0,11%
21/04/2006;74,17;1,78%
24/04/2006;73,86;-0,42%
25/04/2006;72,46;-1,90%
26/04/2006;72,44;-0,03%
27/04/2006;71,02;-1,96%
28/04/2006;72,5;2,08%
01/05/2006;73,4;1,24%
02/05/2006;74,87;2,00%
03/05/2006;73,32;-2,07%
04/05/2006;70,39;-4,00%
05/05/2006;70,88;0,70%
08/05/2006;69,33;-2,19%
09/05/2006;71,22;2,73%
10/05/2006;70,82;-0,56%
11/05/2006;72,51;2,39%
12/05/2006;72,18;-0,46%
15/05/2006;70,21;-2,73%
16/05/2006;70,24;0,04%
17/05/2006;69,04;-1,71%
18/05/2006;69,67;0,91%
19/05/2006;68,68;-1,42%
22/05/2006;69,35;0,98%
23/05/2006;71;2,38%
24/05/2006;69,22;-2,51%
25/05/2006;70,71;2,15%
26/05/2006;70,59;-0,17%
30/05/2006;71,05;0,65%
31/05/2006;70,41;-0,90%
01/06/2006;69,39;-1,45%
02/06/2006;71,03;2,36%
05/06/2006;71,37;0,48%
06/06/2006;70,81;-0,78%
07/06/2006;69,19;-2,29%
08/06/2006;69,05;-0,20%
09/06/2006;70,48;2,07%
12/06/2006;68,93;-2,20%
13/06/2006;66,92;-2,92%
14/06/2006;66,98;0,09%
15/06/2006;67,43;0,67%
16/06/2006;68,8;2,03%
19/06/2006;68,11;-1,00%
20/06/2006;68,08;-0,04%
21/06/2006;69,17;1,60%
22/06/2006;69,95;1,13%
23/06/2006;69,93;-0,03%
26/06/2006;70,73;1,14%
27/06/2006;70,98;0,35%
28/06/2006;71,41;0,61%
29/06/2006;72,88;2,06%
30/06/2006;73,51;0,86%
03/07/2006;73,39;-0,16%
04/07/2006;72,51;-1,20%
05/07/2006;73,98;2,03%
06/07/2006;74,08;0,14%
07/07/2006;73,51;-0,77%
10/07/2006;72,89;-0,84%
11/07/2006;73,67;1,07%
12/07/2006;74,39;0,98%
13/07/2006;76,69;3,09%
14/07/2006;77,27;0,76%
17/07/2006;75,92;-1,75%
