date;euroUs;usEuro;euroYean;yeanEuro
09/05/2005;1,2824;0,779787898;135,46;0,007382253
10/05/2005;1,2854;0,777967948;135,86;0,007360518
11/05/2005;1,2882;0,776276976;135,7;0,007369197
12/05/2005;1,2771;0,783024039;135,66;0,00737137
13/05/2005;1,2635;0,791452315;135,2;0,00739645
16/05/2005;1,2616;0,792644261;135,63;0,007373
17/05/2005;1,2636;0,79138968;135,52;0,007378985
18/05/2005;1,2621;0,792330243;135,44;0,007383343
19/05/2005;1,2642;0,79101408;135,62;0,007373544
20/05/2005;1,2607;0,793210121;135,98;0,007354023
23/05/2005;1,2548;0,796939751;135,45;0,007382798
24/05/2005;1,2617;0,792581438;135,39;0,00738607
25/05/2005;1,2564;0,795924865;135,33;0,007389345
26/05/2005;1,2523;0,798530704;135,58;0,007375719
27/05/2005;1,2551;0,796749263;135,27;0,007392622
30/05/2005;1,2472;0,801796023;134,68;0,007425007
31/05/2005;1,2331;0,810964236;133,47;0,00749232
01/06/2005;1,2228;0,817795224;132,84;0,007527853
02/06/2005;1,2263;0,815461143;132,72;0,007534659
03/06/2005;1,2289;0,813735861;132,57;0,007543185
06/06/2005;1,2272;0,814863103;131,44;0,007608034
07/06/2005;1,2285;0,814000814;131,13;0,00762602
08/06/2005;1,2324;0,811424862;131,69;0,007593591
09/06/2005;1,2239;0,817060217;131,37;0,007612088
10/06/2005;1,2229;0,817728351;131,42;0,007609192
13/06/2005;1,2062;0,829049909;131,74;0,007590709
14/06/2005;1,211;0,825763832;132,33;0,007556865
15/06/2005;1,2069;0,828569061;132,06;0,007572316
16/06/2005;1,2115;0,825423029;132,26;0,007560865
17/06/2005;1,2177;0,821220333;132,47;0,007548879
20/06/2005;1,221;0,819000819;133,09;0,007513713
21/06/2005;1,2092;0,826993053;132,2;0,007564297
22/06/2005;1,2111;0,825695649;131,79;0,007587829
23/06/2005;1,2066;0,82877507;130,88;0,007640587
24/06/2005;1,2082;0,827677537;131,92;0,007580352
27/06/2005;1,2164;0,822097994;132,91;0,007523888
28/06/2005;1,2095;0,826787929;132,94;0,00752219
29/06/2005;1,2054;0,829600133;133,03;0,007517101
30/06/2005;1,2092;0,826993053;133,95;0,007465472
01/07/2005;1,2087;0,827335153;134,24;0,007449344
04/07/2005;1,1894;0,840760047;132,67;0,007537499
05/07/2005;1,1883;0,841538332;133,03;0,007517101
06/07/2005;1,1913;0,839419122;133,23;0,007505817
07/07/2005;1,1957;0,836330183;133,53;0,007488954
08/07/2005;1,1904;0,840053763;133,84;0,007471608
11/07/2005;1,2006;0,832916875;134,4;0,007440476
12/07/2005;1,2166;0,821962847;135,33;0,007389345
13/07/2005;1,2184;0,820748523;135,67;0,007370826
14/07/2005;1,2067;0,828706389;135,24;0,007394262
15/07/2005;1,2073;0,828294542;135,35;0,007388253
18/07/2005;1,2054;0,829600133;135,29;0,007391529
19/07/2005;1,1965;0,835770999;135,07;0,007403569
20/07/2005;1,2063;0,828981182;136,35;0,007334067
21/07/2005;1,2187;0,820546484;135,21;0,007395903
22/07/2005;1,2143;0,823519723;134,98;0,007408505
25/07/2005;1,2065;0,828843763;134,87;0,007414547
26/07/2005;1,1987;0,83423709;134,56;0,007431629
27/07/2005;1,199;0,834028357;134,92;0,0074118
28/07/2005;1,21;0,826446281;136;0,007352941
29/07/2005;1,2093;0,826924667;135,91;0,00735781
01/08/2005;1,2219;0,818397578;136,67;0,007316895
02/08/2005;1,2217;0,818531554;136,07;0,007349159
03/08/2005;1,2308;0,812479688;136,81;0,007309407
04/08/2005;1,2319;0,811754201;137,33;0,00728173
05/08/2005;1,2386;0,807363152;138,13;0,007239557
08/08/2005;1,237;0,808407437;138,13;0,007239557
09/08/2005;1,2367;0,808603542;138,64;0,007212926
10/08/2005;1,2377;0,80795023;137,4;0,00727802
11/08/2005;1,2405;0,806126562;136,94;0,007302468
12/08/2005;1,2457;0,8027615;136,32;0,007335681
15/08/2005;1,2374;0,808146113;135,54;0,007377896
16/08/2005;1,2313;0,81214976;134,63;0,007427765
17/08/2005;1,2296;0,813272609;134,85;0,007415647
18/08/2005;1,2213;0,81879964;134,82;0,007417297
19/08/2005;1,2183;0,820815891;134,51;0,007434391
22/08/2005;1,2231;0,817594637;133,93;0,007466587
23/08/2005;1,2233;0,817460966;134,61;0,007428869
24/08/2005;1,2211;0,818933748;134,77;0,007420049
25/08/2005;1,2272;0,814863103;135,02;0,00740631
26/08/2005;1,2307;0,812545706;134,93;0,00741125
29/08/2005;1,2289;0,813735861;135,73;0,007367568
30/08/2005;1,2181;0,820950661;135,81;0,007363228
31/08/2005;1,2198;0,819806526;136,06;0,007349699
01/09/2005;1,2388;0,807232806;136,95;0,007301935
02/09/2005;1,2541;0,797384579;137,66;0,007264274
05/09/2005;1,2538;0,797575371;136,69;0,007315824
06/09/2005;1,2483;0,801089482;136,75;0,007312614
07/09/2005;1,2451;0,803148341;136,97;0,007300869
08/09/2005;1,2418;0,805282654;137,16;0,007290755
09/09/2005;1,2415;0,805477245;136,63;0,007319037
12/09/2005;1,2313;0,81214976;135,2;0,00739645
13/09/2005;1,2276;0,814597589;136,17;0,007343761
14/09/2005;1,2314;0,812083807;135,42;0,007384434
15/09/2005;1,2223;0,818129755;134,89;0,007413448
16/09/2005;1,2243;0,81679327;135,78;0,007364855
19/09/2005;1,2139;0,823791087;135,31;0,007390437
20/09/2005;1,2154;0,822774395;135,43;0,007383888
21/09/2005;1,2225;0,81799591;135,95;0,007355645
22/09/2005;1,2224;0,818062827;135,89;0,007358893
23/09/2005;1,2118;0,825218683;135,07;0,007403569
26/09/2005;1,2031;0,831186103;135,21;0,007395903
27/09/2005;1,2005;0,832986256;136,01;0,007352401
28/09/2005;1,2037;0,830771787;136,08;0,007348618
29/09/2005;1,2063;0,828981182;135,92;0,007357269
30/09/2005;1,2042;0,830426839;136,25;0,00733945
03/10/2005;1,1933;0,838012235;136,07;0,007349159
04/10/2005;1,1938;0,83766125;136,44;0,007329229
05/10/2005;1,1947;0,837030217;136,06;0,007349699
06/10/2005;1,2061;0,829118647;137,3;0,007283321
07/10/2005;1,2144;0,82345191;137,82;0,007255841
10/10/2005;1,2088;0,827266711;137,9;0,007251632
11/10/2005;1,2022;0,831808351;137,22;0,007287567
12/10/2005;1,2008;0,832778148;137,49;0,007273256
13/10/2005;1,198;0,834724541;137,54;0,007270612
14/10/2005;1,1999;0,833402784;137,67;0,007263747
17/10/2005;1,2022;0,831808351;138;0,007246377
18/10/2005;1,1937;0,837731423;138,29;0,007231181
19/10/2005;1,195;0,836820084;138,07;0,007242703
20/10/2005;1,1953;0,836610056;138,19;0,007236414
21/10/2005;1,2012;0,832500833;138,87;0,007200979
24/10/2005;1,1944;0,837240455;138,15;0,007238509
25/10/2005;1,2017;0,832154448;138,78;0,007205649
26/10/2005;1,2059;0,829256157;139,67;0,007159734
27/10/2005;1,213;0,824402308;139,89;0,007148474
28/10/2005;1,2138;0,823858955;140,03;0,007141327
31/10/2005;1,2023;0,831739167;139,64;0,007161272
01/11/2005;1,2008;0,832778148;140,02;0,007141837
02/11/2005;1,1992;0,83388926;140,26;0,007129616
03/11/2005;1,2041;0,830495806;140,76;0,007104291
