year;USA;JAPAN;GERMANY
1960;1,457975986;3,574511525;1,536612343
1961;1,070724148;5,368461785;2,293695007
1962;1,198773348;6,835440348;2,843270198
1963;1,239669421;6,706905564;2,966959776
1964;1,278911565;3,800389453;2,335735812
1965;1,585169264;6,655990943;3,242319237
1966;3,015075377;5,040832059;3,533060355
1967;2,772785623;3,989848089;1,796049922
1968;4,271796153;5,339432957;1,470289313
1969;5,4623862;5,249820911;1,912678488
1970;5,838255338;6,924173835;3,450249364
1971;4,292766688;6,395348837;5,240974483
1972;3,272278247;4,843517139;5,484933122
1973;6,177760064;11,60862355;7,032023993
1974;11,0548048;23,22224581;6,986431093
1975;9,143146865;11,73126615;5,910336263
1976;5,744812635;9,374036386;4,246631023
1977;6,501683995;8,161826896;3,734162406
1978;7,630963839;4,209566011;2,718696961
1979;11,25447113;3,701850925;4,043620065
1980;13,54920197;7,778581766;5,441057545
1981;10,33471534;4,912162918;6,344242777
1982;6,131427;2,741040956;5,241045072
1983;3,212435233;1,899719713;3,293414743
1984;4,300535475;2,261613692;2,405793399
1985;3,545644152;2,032277346;2,066233012
1986;1,898047722;0,595586799;-0,129413361
1987;3,664563218;0,126176842;0,249906109
1988;4,077741107;0,67855758;1,27411894
1989;4,82700303;2,272289621;2,780569556
1990;5,39795644;3,078516287;2,696468243
1991;4,234963965;3,251438488;4,047032598
1992;3,028819678;1,760283061;5,056977967
1993;2,951656966;1,243045897;4,474576508
1994;2,607441592;0,695458058;2,693056399
1995;2,805419689;-0,127899045;1,706160413
1996;2,9312042;0,136600359;1,44972702
1997;2,337689937;1,747804587;1,939371989
1998;1,552279099;0,661974191;0,911183535
1999;2,188027197;-0,341296928;0,585433064
2000;3,376857271;-0,676578684;1,440268387
2001;2,826171119;-0,740055504;1,983857313
2002;1,586031627;-0,923494027;1,420806156
2003;2,270094973;-0,256541816;1,034222186
2004;2,677236693;-0,008573388;1,665736967
2005;3,392746845;-0,282946069;1,546911148
2006;3,225944101;0,249355116;1,577426428
2007;2,852672482;0,060039454;2,298344007
2008;3,839100297;1,380078862;2,628379816
2009;-0,355546266;-1,35283673;0,312739007
2010;1,640043442;-0,728243208;1,103810378
2011;3,156841569;-0,272455616;2,075172837
2012;2,069337265;-0,04406451;2,008488848
2013;1,464832656;0,335037912;1,504723303
2014;1,622222977;2,759226714;0,906794
2015;0,118627136;0,795279631;0,514426137
2016;1,261583206;-0,127258844;0,491747008
2017;2,130110004;0,484199796;1,509494851
2018;2,442583297;0,989094598;1,732168798
2019;1,812210075;0,468776159;1,445659769
2020;1,233584396;-0,024995834;0,144877926
2021;4,697858864;-0,233352779;3,066666667
2022;8,002799821;2,497702782;6,872574386
2023;4,116338384;3,268133659;5,946436677
2024;2,949525205;2,738536816;2,256498143
