year;USA;JAPAN;GERMANY
1961;2,3;12,04353641;4,298439564
1962;6,1;8,908972996;4,623470957
1963;4,4;8,473642383;2,735296404
1964;5,8;11,6767082;6,63946991
1965;6,4;5,819707873;5,244164053
1966;6,5;10,63856156;2,812181275
1967;2,5;11,08214232;-0,330256485
1968;4,8;12,88246814;5,66877306
1969;3,1;12,47789451;7,418102753
1970;0,216606498;0,399050645;5,103144545
1971;3,292722455;4,698992042;3,132699764
1972;5,255501951;8,413547255;4,300341297
1973;5,645679766;8,032599975;4,777486923
1974;-0,540550187;-1,225239828;0,890068743
1975;-0,205619193;3,091575916;-0,866738925
1976;5,388033896;3,974984091;4,949258402
1977;4,624186517;4,39033795;3,347218079
1978;5,535206478;5,271941503;3,008492912
1979;3,165988229;5,484041832;4,150363302
1980;-0,256775732;2,817591208;1,408828679
1981;2,537701267;4,260624493;0,52924055
1982;-1,803013788;3,279742743;-0,39484077
1983;4,583790986;3,630198572;1,572410115
1984;7,236453159;4,410880154;2,822947847
1985;4,169575347;5,159807905;2,327935256
1986;3,462655053;3,294047613;2,287339249
1987;3,454629665;4,648861398;1,402151588
1988;4,176982398;6,661636522;3,707235647
1989;3,672237836;4,925785413;3,896551718
1990;1,885965585;4,840929057;5,255006118
1991;-0,108312889;3,523357235;5,108261487
1992;3,522497184;0,900586066;2,014184255
1993;2,751795862;-0,459219716;-0,973303692
1994;4,029022729;1,083383174;2,597584964
1995;2,684430735;2,630999616;1,505405777
1996;3,772772686;3,133870993;1,038155811
1997;4,447127942;0,981228732;1,854817267
1998;4,483133346;-1,270330495;2,096161408
1999;4,788425053;-0,333929958;2,130116685
2000;4,077585758;2,764647551;2,877245948
2001;0,955538346;0,386103426;1,636541013
2002;1,700447324;0,041962499;-0,228310249
2003;2,795605966;1,535125499;-0,529928994
2004;3,847771692;2,186115694;1,162368267
2005;3,483549938;1,803900872;0,885697236
2006;2,784539639;1,372350128;3,855736152
2007;2,003858298;1,483969412;2,89010719
2008;0,113587248;-1,224289001;0,910403196
2009;-2,576500234;-5,693236359;-5,545164538
2010;2,695192584;4,097917919;4,146767545
2011;1,564406854;0,023809524;3,757968866
2012;2,289113388;1,374750999;0,474291306
2013;2,117830099;2,005100177;0,386224576
2014;2,523819814;0,296205514;2,169498929
2015;2,945550455;1,560626697;1,652719772
2016;1,819451475;0,753826746;2,294710677
2017;2,457622303;1,675331752;2,716024519
2018;2,966505069;0,643391023;1,116443109
2019;2,58382533;-0,402169201;0,987893349
2020;-2,163029139;-4,147118899;-4,095137491
2021;6,055052933;2,559320239;3,669999862
2022;2,51237532;0,954736938;1,369731055
2023;2,887556009;1,679019523;-0,26643841
