year;USA;JAPAN;GERMANY
1961;;;
1962;;;
1963;;;
1964;;;
1965;;;
1966;;;
1967;;;
1968;;;
1969;;;
1970;;;
1971;;;
1972;;;
1973;;;
1974;;;
1975;;;
1976;;;
1977;;;
1978;;;
1979;;;
1980;;;
1981;;;
1982;;;
1983;;;
1984;;;
1985;;;
1986;;;
1987;;;
1988;;;
1989;;;
1990;;;
1991;6,8;2,059;
1992;7,5;2,158;5,316
1993;6,9;2,539;6,323
1994;6,119;2,89;7,675
1995;5,65;3,15;8,727
1996;5,451;3,383;8,158
1997;5;3,374;8,822
1998;4,511;4,078;9,861
1999;4,219;4,677;9,787
2000;3,992;4,748;8,854
2001;4,731;5,02;7,917
2002;5,783;5,386;7,773
2003;5,989;5,251;8,482
2004;5,529;4,734;9,779
2005;5,084;4,446;10,727
2006;4,623;4,192;11,193
2007;4,622;3,888;10,277
2008;5,784;4,002;8,732
2009;9,254;5,068;7,508
2010;9,633;5,102;7,88
2011;8,949;4,55;7,043
2012;8,069;4,358;5,967
2013;7,375;4,038;5,372
2014;6,168;3,589;5,316
2015;5,28;3,385;4,979
2016;4,869;3,132;4,612
2017;4,355;2,822;4,104
2018;3,896;2,467;3,781
2019;3,669;2,351;3,384
2020;8,055;2,809;3,163
2021;5,349;2,828;3,881
2022;3,65;2,6;3,594
2023;3,638;2,6;3,12
2024;4,106;2,563;3,068
;;;3,406
